Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
0.5058,0.5058,0.5058,0.5058,0.5058,0.5058,0.5058
